,,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline,Note (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p1,3,"Environment Assessment Group, Korea Environment Institute, Sejong",Korea Environment Institute,South Korea,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p1,2,"Department of Biology, KyungHee University, Seoul",KyungHee University,South Korea,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p1,4,"Korea Institute of Ornithology, KyungHee University, Seoul,",KyungHee University,South Korea,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p10,34,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Sydney, NSW, Australia",The University of Sydney,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p10,33,"Department of Veterinary and Animal Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, Frederiksberg, Denmark",University of Copenhagen,Denmark,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",Fudan University,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,38,"Jinshan District Center for Disease Control and Prevention, Shanghai, China",Jinshan District Center for Disease Control and Prevention,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,106,"Department of Animal Disease Control and Quarantine, Graduate School of Public Health, Korea University, Seoul, South Korea",Korea University,South Korea,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,35,"Department of Preventive Medicine, College of Medicine, Korea University, Seoul, South Korea ",Korea University,South Korea,PH-MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,36,"Transdisciplinary Major in Learning Health Systems, Department of Healthcare Sciences, Graduate School, Korea University, Seoul, South Korea",Korea University,South Korea,PH-MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",Ministry of Education,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p11,37," School of Veterinary Science, University of Sydney, Camden, NSW, Australia",University of Sydney,Australia,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,41,"Agence Nationale de Sécurité Sanitaire de l’Alimentation, de l’Environnement et du Travail, Ploufragan, France",Agence Nationale de Sécurité Sanitaire de l’Alimentation-Ploufragan,France,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,42,"Direction Générale de l’Alimentation, Paris, France ",Direction Générale de l’Alimentation,France,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,43,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland",ETH Zurich,Switzerland,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,44,"Swiss Institute of Bioinformatics, Lausanne, Switzerland",Swiss Institute of Bioinformatics,Switzerland,STEM-Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,39,"IHAP, Université de Toulouse, INRAE, ENVT, Toulouse, France",Université de Toulouse,France,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p12,40,"Agence Nationale de Sécurité Sanitaire de l’Alimentation, de l’Environnement et du Travail, Université Paris-Est, Maisons-Alfort, France ",Université Paris-Est,France,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p13,46,"Department of Applied Mathematics and Institute of Statistics, Taichung 402, Taiwan ",Department of Applied Mathematics and Institute of Statistics,Taiwan,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p13,45,"Graduate Institute of Microbiology and Public Health, College of Veterinary Medicine, National Chung Hsing University, 145 Xingda Rd., Taichung 402, Taiwan",National Chung Hsing University,Taiwan,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p14,48,"Division of Veterinary Epidemiology, Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",Animal and Plant Quarantine Agency,South Korea,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p14,47,"Veterinary Public Health Lab, College of Veterinary Medicine, Chonnam National University, Gwangju 61186, Korea",Chonnam National University,South Korea,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p15,71,"Vaccine and Infectious Disease, Fred Hutchinson Cancer Research Centre, Seattle, Washington, USA",Fred Hutchinson Cancer Research Centre,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p16,50,"San Jose State University Research Foundation, Moss Landing Marine Laboratories, California, USAc",San Jose State University Research Foundation,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p16,52,"Suisun Resource Conservation District, Suisun Marsh Program, West Sacramento, California, USA",Suisun Resource Conservation District,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p16,53,"University of California Davis, School of Veterinary Medicine, Poultry Health and Food Safety Epidemiology, One Shields Avenue, Davis, California, USA",University of California Davis,United States,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p17,57,"Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China",Key Laboratory of Zoonoses Prevention and Control of Guangdong Province,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p17,56,"Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China ",Ministry of Agriculture and Rural Affairs,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p17,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",South China Agricultural University,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p18,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",Chinese Academy of Medical Science & Peking Union Medical College,China,PH-MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p18,59,"Department of Influenza, WHO Collaborating Centre for Reference and Research on Influenza, Chinese National Influenza Centre, National Institute for Viral Disease Control and Prevention, Chinese Centre for Disease Control and Prevention, Beijing, China",Chinese Centre for Disease Control and Prevention,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p19,60,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden",National Veterinary Institute,Sweden,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p19,62,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden;",National Veterinary Institute,Sweden,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p19,63,"Department of Microbiology, National Veterinary Institute, 751 89 Uppsala, Sweden",National Veterinary Institute,Sweden,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p19,64,"Department of Animal Health and Antimicrobial Strategies, National Veterinary Institute,
751 89 Uppsala, Sweden",National Veterinary Institute,Sweden,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p19,61,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden",Swedish University of Agricultural Sciences,Sweden,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p2,77,"Department of Public Health, College of Medicine, Korea University, Seoul",Korea University,South Korea,PH-MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p2,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",University of California,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p2,6,"One Health Institute, School of Veterinary Medicine, University of California, Davis, California, USA",University of California,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p20,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",Chinese Academy of Agricultural Sciences,China,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p20,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort, Ploufragan, France","French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzané-Niort",France,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p20,67,"Guangdong Laboratory for Lingnan Modern Agriculture, Guangzhou 510642, China",Guangdong Laboratory for Lingnan Modern Agriculture,China,STEM,note: Diagnostic Virologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p20,66,"College of Agronomy, Liaocheng University, Liaocheng 252000, China;",Liaocheng University,China,SHAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,84,"Ausvet Europe, Lyon, France",Ausvet Europe,France,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,83,"Looking out for Birds (BTO) Scotland, Stirling, UK",BTO Scotland,United Kingdom,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,86,"Looking out for Birds (BTO), Thetford, UK",BTO Thetford,United Kingdom,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,81,"Catalan Ornithological Institute, Barcelona, Spain ",Catalan Ornithological Institute,Spain,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,85,"Sovon, Dutch Centre for Field Ornithology, Nijmegen, Netherlands",Dutch Centre for Field Ornithology,Netherlands,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,82,"EuroBirdPortal/EBCC, Barcelona, Spain",EuroBirdPortal/EBCC,Spain,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p21,87,"EURING, Thetford, UK",The EURING bank,United Kingdom,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p22,89,"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark",Statens Serum Institut,Denmark,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p22,88,"Faculty of Health and Medical Sciences, Section for Animal Welfare and Disease Control, Department of Veterinary and Animal Sciences, University of Copenhagen, Frederiksberg, Denmark",University of Copenhagen,Denmark,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p22,90,"Faculty of Science, Sydney School of Veterinary Science, The University of Sydney, Camden NSW, Australia",University of Sydney,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,97,"China Animal Health and Epidemiology
Centre, Qingdao, China","China Animal Health and Epidemiology
Centre",China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,100,"Guangxi Centre of Animal Disease Prevention and Control, Nanning, China",Guangxi Centre of Animal Disease Prevention and Control,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,102,"Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China",Huazhong Agricultural University,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia",Murdoch University,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,99,"Royal Veterinary College, University of London, Hatfield, UK",Murdoch University,United Kingdom,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia",Murdoch University ,Australia,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,101,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China",Zhejiang Agricultural and Forestry University ,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p25,111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",Frostburg State University ,United States,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p25,112,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA",US Department of Agriculture,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,116,"Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram 4225, Bangladesh",Chattogram Veterinary and Animal Sciences University,Bangladesh,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",Deakin University,Australia,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",Disease Control and Research (IEDCR),Bangladesh,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
